Порядковый номер,Район,Адрес,Количество видеокамер
1.156,Адмиралтейский район,"Гороховая улица, дом 35-37",2
1.157,Адмиралтейский район,"Гороховая улица, дом 41",3
1.158,Адмиралтейский район,"Гороховая улица, дом 45",6
1.159,Адмиралтейский район,"Гороховая улица, дом 45, литера В",5
1.160,Адмиралтейский район,"Гороховая улица, дом 51",4
1.161,Адмиралтейский район,"Гороховая улица, дом 52",5
1.162,Адмиралтейский район,"Гороховая улица, дом 54",3
1.163,Адмиралтейский район,"Гороховая улица, дом 56",2
1.164,Адмиралтейский район,"Гороховая улица, дом 57",11
1.165,Адмиралтейский район,"Гороховая улица, дом 57а",2
1.166,Адмиралтейский район,"Гороховая улица, дом 58",4
1.167,Адмиралтейский район,"Гороховая улица, дом 63/2",2
1.168,Адмиралтейский район,"Гороховая улица, дом 64",6
1.169,Адмиралтейский район,"Гороховая улица, дом 65",4
1.170,Адмиралтейский район,"Гороховая улица, дом 66",5
1.171,Адмиралтейский район,"Гороховая улица, дом 66, литера Г",2
1.172,Адмиралтейский район,"Гороховая улица, дом 67",6
1.173,Адмиралтейский район,"Гороховая улица, дом 68",7
1.174,Адмиралтейский район,"Гороховая улица, дом 71",7
1.175,Адмиралтейский район,"Гороховая улица, дом 73",6
1.176,Адмиралтейский район,"Гороховая улица, дом 79",5
1.177,Адмиралтейский район,"Гражданская улица, дом 17/8",4
1.178,Адмиралтейский район,"Гражданская улица, дом 28",1
1.179,Адмиралтейский район,"Гражданская улица, дом 7",2
1.180,Адмиралтейский район,"Гражданская улица, дом 8",2
1.181,Адмиралтейский район,"Грибоедова канала набережная, дом 102, литера Б",2
1.182,Адмиралтейский район,"Грибоедова канала набережная, дом 105",8
1.183,Адмиралтейский район,"Грибоедова канала набережная, дом 106",2
1.184,Адмиралтейский район,"Грибоедова канала набережная, дом 107/6",6
1.185,Адмиралтейский район,"Грибоедова канала набережная, дом 109/8",4
1.186,Адмиралтейский район,"Грибоедова канала набережная, дом 109/8, литера Б",1
1.187,Адмиралтейский район,"Грибоедова канала набережная, дом 115",2
1.188,Адмиралтейский район,"Грибоедова канала набережная, дом 117",1
1.189,Адмиралтейский район,"Грибоедова канала набережная, дом 119-121",3
1.190,Адмиралтейский район,"Грибоедова канала набережная, дом 124, литера Б",2
1.191,Адмиралтейский район,"Грибоедова канала набережная, дом 127, корпус 3, литера В",1
1.192,Адмиралтейский район,"Грибоедова канала набережная, дом 127, корпус 3, литера В,",1
1.193,Адмиралтейский район,"Грибоедова канала набережная, дом 130",2
1.194,Адмиралтейский район,"Грибоедова канала набережная, дом 133а",2
1.195,Адмиралтейский район,"Грибоедова канала набережная, дом 136",1
1.196,Адмиралтейский район,"Грибоедова канала набережная, дом 142",3
1.197,Адмиралтейский район,"Грибоедова канала набережная, дом 148-150",6
1.198,Адмиралтейский район,"Грибоедова канала набережная, дом 152",2
1.199,Адмиралтейский район,"Грибоедова канала набережная, дом 154",1
1.200,Адмиралтейский район,"Грибоедова канала набережная, дом 164",7
1.201,Адмиралтейский район,"Грибоедова канала набережная, дом 166, строение 2",1
1.202,Адмиралтейский район,"Грибоедова канала набережная, дом 170",6
1.203,Адмиралтейский район,"Грибоедова канала набережная, дом 42",1
1.204,Адмиралтейский район,"Грибоедова канала набережная, дом 59",2
1.205,Адмиралтейский район,"Грибоедова канала набережная, дом 62",1
1.206,Адмиралтейский район,"Грибоедова канала набережная, дом 65-67",7
1.207,Адмиралтейский район,"Грибоедова канала набережная, дом 74",2
1.208,Адмиралтейский район,"Грибоедова канала набережная, дом 76, литера П",1
1.209,Адмиралтейский район,"Грибоедова канала набережная, дом 79/23",5
1.210,Адмиралтейский район,"Грибоедова канала набережная, дом 80, литера Б",2
1.211,Адмиралтейский район,"Грибоедова канала набережная, дом 81",2
1.212,Адмиралтейский район,"Грибоедова канала набережная, дом 82",1
