Порядковый номер,Район,Адрес,Количество видеокамер
11.8,Московский район,"5-й Предпортовый проезд, дом 4, корпус 4",2
11.9,Московский район,"5-й Предпортовый проезд, дом 6, корпус 2",2
11.10,Московский район,"5-й Предпортовый проезд, дом 8, корпус 1",8
11.11,Московский район,"5-й Предпортовый проезд, дом 8, корпус 4",2
11.12,Московский район,"Авиационная улица, дом 11",1
11.13,Московский район,"Авиационная улица, дом 15",5
11.14,Московский район,"Авиационная улица, дом 18",1
11.15,Московский район,"Авиационная улица, дом 20",3
11.16,Московский район,"Авиационная улица, дом 22",3
11.17,Московский район,"Авиационная улица, дом 26",3
11.18,Московский район,"Авиационная улица, дом 40",10
11.19,Московский район,"Авиационная улица, дом 9",6
11.20,Московский район,"Алтайская улица, дом 12",2
11.21,Московский район,"Алтайская улица, дом 21",4
11.22,Московский район,"Алтайская улица, дом 23",1
11.23,Московский район,"Алтайская улица, дом 24",8
11.24,Московский район,"Алтайская улица, дом 37",4
11.25,Московский район,"Алтайская улица, дом 41",4
11.26,Московский район,"Алтайская улица, дом 7",6
11.27,Московский район,"Бассейная улица, дом 11",5
11.28,Московский район,"Бассейная улица, дом 12",3
11.29,Московский район,"Бассейная улица, дом 13",5
11.30,Московский район,"Бассейная улица, дом 15",1
11.31,Московский район,"Бассейная улица, дом 15, корпус 2",4
11.32,Московский район,"Бассейная улица, дом 16",4
11.33,Московский район,"Бассейная улица, дом 17",10
11.34,Московский район,"Бассейная улица, дом 20, литера Б",9
11.35,Московский район,"Бассейная улица, дом 23",5
11.36,Московский район,"Бассейная улица, дом 25",3
11.37,Московский район,"Бассейная улица, дом 27",1
11.38,Московский район,"Бассейная улица, дом 28",8
11.39,Московский район,"Бассейная улица, дом 29",3
11.40,Московский район,"Бассейная улица, дом 3",5
11.41,Московский район,"Бассейная улица, дом 33",2
11.42,Московский район,"Бассейная улица, дом 37",4
11.43,Московский район,"Бассейная улица, дом 41",6
11.44,Московский район,"Бассейная улица, дом 45",6
11.45,Московский район,"Бассейная улица, дом 47",4
11.46,Московский район,"Бассейная улица, дом 5",5
11.47,Московский район,"Бассейная улица, дом 51",4
11.48,Московский район,"Бассейная улица, дом 55",6
11.49,Московский район,"Бассейная улица, дом 57",11
11.50,Московский район,"Бассейная улица, дом 61",9
11.51,Московский район,"Бассейная улица, дом 61, корпус 2",1
11.52,Московский район,"Бассейная улица, дом 63",1
11.53,Московский район,"Бассейная улица, дом 65",1
11.54,Московский район,"Бассейная улица, дом 67",6
11.55,Московский район,"Бассейная улица, дом 75",6
11.56,Московский район,"Бассейная улица, дом 81",2
11.57,Московский район,"Бассейная улица, дом 85",5
11.58,Московский район,"Бассейная улица, дом 87",7
11.59,Московский район,"Бассейная улица, дом 89",4
11.60,Московский район,"Благодатная улица, дом 1",5
11.61,Московский район,"Благодатная улица, дом 13",4
11.62,Московский район,"Благодатная улица, дом 15",5
11.63,Московский район,"Благодатная улица, дом 16",2
11.64,Московский район,"Благодатная улица, дом 17",4
11.65,Московский район,"Благодатная улица, дом 19",4
11.66,Московский район,"Благодатная улица, дом 2",1
11.67,Московский район,"Благодатная улица, дом 20",7
11.68,Московский район,"Благодатная улица, дом 21",3
11.69,Московский район,"Благодатная улица, дом 23",4
11.70,Московский район,"Благодатная улица, дом 25",4
11.71,Московский район,"Благодатная улица, дом 27",3
11.72,Московский район,"Благодатная улица, дом 29",4
11.73,Московский район,"Благодатная улица, дом 3",4
11.74,Московский район,"Благодатная улица, дом 30",1
11.75,Московский район,"Благодатная улица, дом 31",4
11.76,Московский район,"Благодатная улица, дом 33",3
11.77,Московский район,"Благодатная улица, дом 38",9
11.78,Московский район,"Благодатная улица, дом 4",2
11.79,Московский район,"Благодатная улица, дом 42",4
11.80,Московский район,"Благодатная улица, дом 44",1
11.81,Московский район,"Благодатная улица, дом 47",3
11.82,Московский район,"Благодатная улица, дом 5",4
11.83,Московский район,"Благодатная улица, дом 51",4
11.84,Московский район,"Благодатная улица, дом 53",3
11.85,Московский район,"Благодатная улица, дом 55",2
11.86,Московский район,"Благодатная улица, дом 59",2
11.87,Московский район,"Благодатная улица, дом 6,",1
11.88,Московский район,"Благодатная улица, дом 61",3
11.89,Московский район,"Благодатная улица, дом 71",2
11.90,Московский район,"Благодатная улица, дом 9",3
11.91,Московский район,"Варшавская улица, дом 10",3
11.92,Московский район,"Варшавская улица, дом 110",4
11.93,Московский район,"Варшавская улица, дом 112",5
11.94,Московский район,"Варшавская улица, дом 114",6
11.95,Московский район,"Варшавская улица, дом 124",1
11.96,Московский район,"Варшавская улица, дом 14",4
11.97,Московский район,"Варшавская улица, дом 16",3
11.98,Московский район,"Варшавская улица, дом 17",5
11.99,Московский район,"Варшавская улица, дом 19, корпус 1",2
11.100,Московский район,"Варшавская улица, дом 19, корпус 2",17
11.101,Московский район,"Варшавская улица, дом 21",6
11.102,Московский район,"Варшавская улица, дом 23, корпус 1",2
11.103,Московский район,"Варшавская улица, дом 23, корпус 2",5
11.104,Московский район,"Варшавская улица, дом 23, корпус 3",6
11.105,Московский район,"Варшавская улица, дом 23, корпус 4",3
11.106,Московский район,"Варшавская улица, дом 25",6
11.107,Московский район,"Варшавская улица, дом 26",4
11.108,Московский район,"Варшавская улица, дом 27, корпус 1",5
11.109,Московский район,"Варшавская улица, дом 27, корпус 2",5
11.110,Московский район,"Варшавская улица, дом 29, корпус 1",12
11.111,Московский район,"Варшавская улица, дом 29, корпус 2",4
11.112,Московский район,"Варшавская улица, дом 3, корпус 1",1
11.113,Московский район,"Варшавская улица, дом 31",4
11.114,Московский район,"Варшавская улица, дом 32",1
11.115,Московский район,"Варшавская улица, дом 34",2
11.116,Московский район,"Варшавская улица, дом 35",4
11.117,Московский район,"Варшавская улица, дом 37, корпус 1",19
11.118,Московский район,"Варшавская улица, дом 37, корпус 2",3
11.119,Московский район,"Варшавская улица, дом 39, корпус 1",1
11.120,Московский район,"Варшавская улица, дом 39, корпус 2",1
11.121,Московский район,"Варшавская улица, дом 41, корпус 1",2
11.122,Московский район,"Варшавская улица, дом 41, корпус 2",2
11.123,Московский район,"Варшавская улица, дом 41, корпус 3",5
11.124,Московский район,"Варшавская улица, дом 41, корпус 4",5
11.125,Московский район,"Варшавская улица, дом 43, корпус 1",4
11.126,Московский район,"Варшавская улица, дом 43, корпус 2",2
11.127,Московский район,"Варшавская улица, дом 45, корпус 1",5
11.128,Московский район,"Варшавская улица, дом 45, корпус 2",5
11.129,Московский район,"Варшавская улица, дом 45, корпус 3",5
11.130,Московский район,"Варшавская улица, дом 47, корпус 1",5
11.131,Московский район,"Варшавская улица, дом 47, корпус 2",4
11.132,Московский район,"Варшавская улица, дом 48",3
11.133,Московский район,"Варшавская улица, дом 49",4
11.134,Московский район,"Варшавская улица, дом 51, корпус 1",1
11.135,Московский район,"Варшавская улица, дом 52",3
11.136,Московский район,"Варшавская улица, дом 53",4
11.137,Московский район,"Варшавская улица, дом 54",4
11.138,Московский район,"Варшавская улица, дом 55",5
11.139,Московский район,"Варшавская улица, дом 58",1
11.140,Московский район,"Варшавская улица, дом 59",2
11.141,Московский район,"Варшавская улица, дом 5а, литера БП",2
11.142,Московский район,"Варшавская улица, дом 60",3
11.143,Московский район,"Варшавская улица, дом 61",5
11.144,Московский район,"Варшавская улица, дом 63, корпус 1",14
11.145,Московский район,"Варшавская улица, дом 65",5
11.146,Московский район,"Варшавская улица, дом 69, корпус 3",3
11.147,Московский район,"Варшавская улица, дом 73",2
11.148,Московский район,"Варшавская улица, дом 8,",2
11.149,Московский район,"Варшавская улица, дом 9, корпус 1",3
11.150,Московский район,"Варшавская улица, дом 94",5
11.151,Московский район,"Варшавское направление ж. Д. ""путепровод через Пулковское шоссе""",1
11.152,Московский район,"Взлетная улица, дом 9",1
11.153,Московский район,"Витебский проспект, дом 1",1
11.154,Московский район,"Витебский проспект, дом 101, корпус 2, строение 1",1
11.155,Московский район,"Витебский проспект, дом 109",3
11.156,Московский район,"Витебский проспект, дом 17, корпус 1",2
11.157,Московский район,"Витебский проспект, дом 21, корпус 1",2
11.158,Московский район,"Витебский проспект, дом 21, корпус 3",7
11.159,Московский район,"Витебский проспект, дом 21, корпус 4",6
11.160,Московский район,"Витебский проспект, дом 23, корпус 1",6
11.161,Московский район,"Витебский проспект, дом 23, корпус 3",6
11.162,Московский район,"Витебский проспект, дом 23, корпус 4",7
11.163,Московский район,"Витебский проспект, дом 23, корпус 5",6
11.164,Московский район,"Витебский проспект, дом 29, корпус 2",2
11.165,Московский район,"Витебский проспект, дом 3",1
11.166,Московский район,"Витебский проспект, дом 31, корпус 1",10
11.167,Московский район,"Витебский проспект, дом 31, корпус 2",8
11.168,Московский район,"Витебский проспект, дом 31, корпус 3",4
11.169,Московский район,"Витебский проспект, дом 31, корпус 4",9
11.170,Московский район,"Витебский проспект, дом 31, корпус 5",9
11.171,Московский район,"Витебский проспект, дом 33, корпус 1",8
11.172,Московский район,"Витебский проспект, дом 33, корпус 2",6
11.173,Московский район,"Витебский проспект, дом 33, корпус 3",9
11.174,Московский район,"Витебский проспект, дом 33, корпус 4",9
11.175,Московский район,"Витебский проспект, дом 33, корпус 5",7
11.176,Московский район,"Витебский проспект, дом 41, корпус 1",5
11.177,Московский район,"Витебский проспект, дом 41, корпус 2",4
11.178,Московский район,"Витебский проспект, дом 41, корпус 3",7
11.179,Московский район,"Витебский проспект, дом 47, корпус 1",9
11.180,Московский район,"Витебский проспект, дом 47, корпус 2",4
11.181,Московский район,"Витебский проспект, дом 47, корпус 4",8
11.182,Московский район,"Витебский проспект, дом 49, корпус 1",5
11.183,Московский район,"Витебский проспект, дом 49, корпус 2",8
11.184,Московский район,"Витебский проспект, дом 51, корпус 2",7
11.185,Московский район,"Витебский проспект, дом 53, корпус 4",2
11.186,Московский район,"Витебский проспект, дом 61, корпус 1",4
11.187,Московский район,"Витебский проспект, дом 61, корпус 2",1
11.188,Московский район,"Витебский проспект, дом 61, корпус 3",1
11.189,Московский район,"Витебский проспект, дом 61, корпус 4",2
11.190,Московский район,"Витебский проспект, дом 61, корпус 5",2
11.191,Московский район,"Витебский проспект, дом 63",3
11.192,Московский район,"Витебский проспект, дом 65",11
11.193,Московский район,"Витебский проспект, дом 69",4
11.194,Московский район,"Витебский проспект, дом 73, корпус 1",1
11.195,Московский район,"Витебский проспект, дом 75",10
11.196,Московский район,"Витебский проспект, дом 79, корпус 1",9
11.197,Московский район,"Витебский проспект, дом 85, корпус 1",2
11.198,Московский район,"Витебский проспект, дом 85, корпус 3",1
11.199,Московский район,"Витебский проспект, дом 87, корпус 1",10
11.200,Московский район,"Витебский проспект, дом 9, литера Д",2
11.201,Московский район,"Витебский проспект, дом 97, корпус 2",2
11.202,Московский район,"Витебский проспект, дом 99, корпус 3",2
11.203,Московский район,"Внуковская улица, дом 2",4
11.204,Московский район,"Гастелло улица, дом 10",3
11.205,Московский район,"Гастелло улица, дом 13",1
11.206,Московский район,"Гастелло улица, дом 14",3
11.207,Московский район,"Гастелло улица, дом 17",1
11.208,Московский район,"Гастелло улица, дом 18",1
11.209,Московский район,"Гастелло улица, дом 21",12
11.210,Московский район,"Гастелло улица, дом 28",2
11.211,Московский район,"Гастелло улица, дом 9",2
11.212,Московский район,"Детский переулок, дом 3, литера Б",8
11.213,Московский район,"Дунайский проспект, дом 14, корпус 1",3
11.214,Московский район,"Дунайский проспект, дом 14, корпус 2",2
11.215,Московский район,"Дунайский проспект, дом 23",2
11.216,Московский район,"Дунайский проспект, дом 24",6
11.217,Московский район,"Дунайский проспект, дом 25, корпус 3",2
11.218,Московский район,"Дунайский проспект, дом 26/77",15
11.219,Московский район,"Дунайский проспект, дом 28 корпус 2",1
11.220,Московский район,"Дунайский проспект, дом 3, корпус 3",2
11.221,Московский район,"Дунайский проспект, дом 3, корпус 4",2
11.222,Московский район,"Дунайский проспект, дом 32, сооружение 1, литера Г",3
11.223,Московский район,"Дунайский проспект, дом 5",15
11.224,Московский район,"Дунайский проспект, дом 5, корпус 4",2
11.225,Московский район,"Дунайский проспект, дом 5, корпус 7",4
11.226,Московский район,"Дунайский проспект, дом 7",15
11.227,Московский район,"Дунайский проспект, дом 7, корпус 3",2
11.228,Московский район,"Заставская улица, дом 11, корпус 1",1
11.229,Московский район,"Заставская улица, дом 13, литера Э",1
11.230,Московский район,"Заставская улица, дом 30",1
11.231,Московский район,"Заставская улица, дом 5/1",1
11.232,Московский район,"Заставская улица, дом 7",1
11.233,Московский район,"Заставская улица, дом 7, литера Ж",2
11.234,Московский район,"Звездная улица, дом 1",3
11.235,Московский район,"Звёздная улица, дом 12",16
11.236,Московский район,"Звездная улица, дом 14",4
11.237,Московский район,"Звездная улица, дом 16",1
11.238,Московский район,"Звездная улица, дом 16а",4
11.239,Московский район,"Звездная улица, дом 22",6
11.240,Московский район,"Звездная улица, дом 24",4
11.241,Московский район,"Звездная улица, дом 4",4
11.242,Московский район,"Звездная улица, дом 5, корпус 1",8
11.243,Московский район,"Звездная улица, дом 8",4
11.244,Московский район,"Звездная улица, дом 9, корпус 1",3
11.245,Московский район,"Киевская улица, дом 24/22",11
11.246,Московский район,"Киевская улица, дом 32",1
11.247,Московский район,"Киевская улица, дом 32, литера Б",1
11.248,Московский район,"Киевская улица, дом 6, корпус 1",1
11.249,Московский район,"Киевская улица, дом 6, корпус 1, литера Б",2
11.250,Московский район,"Киевская улица, дом 7",1
11.251,Московский район,"Коли Томчака улица, дом 11/17, литера В",1
11.252,Московский район,"Коли Томчака улица, дом 25, литера Ж",1
11.253,Московский район,"Колпино город, Веры Слуцкой улица, дом 54",1
11.254,Московский район,"Конституции площадь, дом 3",1
11.255,Московский район,"Космонавтов проспект, дом 17",1
11.256,Московский район,"Космонавтов проспект, дом 18, корпус 1",7
11.257,Московский район,"Космонавтов проспект, дом 18, корпус 2",6
11.258,Московский район,"Космонавтов проспект, дом 19, корпус 1",4
11.259,Московский район,"Космонавтов проспект, дом 20, корпус 1",6
11.260,Московский район,"Космонавтов проспект, дом 20, корпус 2",6
11.261,Московский район,"Космонавтов проспект, дом 20, корпус 3",6
11.262,Московский район,"Космонавтов проспект, дом 21, корпус 1",6
11.263,Московский район,"Космонавтов проспект, дом 21, корпус 2",4
11.264,Московский район,"Космонавтов проспект, дом 25",1
11.265,Московский район,"Космонавтов проспект, дом 26",5
11.266,Московский район,"Космонавтов проспект, дом 28, корпус 1",4
11.267,Московский район,"Космонавтов проспект, дом 28, корпус 2",7
11.268,Московский район,"Космонавтов проспект, дом 29, корпус 1",7
11.269,Московский район,"Космонавтов проспект, дом 29, корпус 2",4
11.270,Московский район,"Космонавтов проспект, дом 29, корпус 3",6
11.271,Московский район,"Космонавтов проспект, дом 29, корпус 4",6
11.272,Московский район,"Космонавтов проспект, дом 29, корпус 5",8
11.273,Московский район,"Космонавтов проспект, дом 29, корпус 6",8
11.274,Московский район,"Космонавтов проспект, дом 29, корпус 7",4
11.275,Московский район,"Космонавтов проспект, дом 30, корпус 2",7
11.276,Московский район,"Космонавтов проспект, дом 31",1
11.277,Московский район,"Космонавтов проспект, дом 33-35",1
11.278,Московский район,"Космонавтов проспект, дом 36,",1
11.279,Московский район,"Космонавтов проспект, дом 37",1
11.280,Московский район,"Космонавтов проспект, дом 38, корпус 1",7
11.281,Московский район,"Космонавтов проспект, дом 38, корпус 2",6
11.282,Московский район,"Космонавтов проспект, дом 42",1
11.283,Московский район,"Космонавтов проспект, дом 44",8
11.284,Московский район,"Космонавтов проспект, дом 46",4
11.285,Московский район,"Космонавтов проспект, дом 46, корпус 2",12
11.286,Московский район,"Космонавтов проспект, дом 48, корпус 1",3
11.287,Московский район,"Космонавтов проспект, дом 48, корпус 2",7
11.288,Московский район,"Космонавтов проспект, дом 48, корпус 3",7
11.289,Московский район,"Космонавтов проспект, дом 48, корпус 4",9
11.290,Московский район,"Космонавтов проспект, дом 50, корпус 1",1
11.291,Московский район,"Космонавтов проспект, дом 52, корпус 1",9
11.292,Московский район,"Космонавтов проспект, дом 52, корпус 2",8
11.293,Московский район,"Космонавтов проспект, дом 52, корпус 3",1
11.294,Московский район,"Космонавтов проспект, дом 52, корпус 4",8
11.295,Московский район,"Космонавтов проспект, дом 52, корпус 5",8
11.296,Московский район,"Космонавтов проспект, дом 52, корпус 6",8
11.297,Московский район,"Космонавтов проспект, дом 54",1
11.298,Московский район,"Космонавтов проспект, дом 58",7
11.299,Московский район,"Космонавтов проспект, дом 61, корпус 1",3
11.300,Московский район,"Космонавтов проспект, дом 63, корпус 1",1
11.301,Московский район,"Космонавтов проспект, дом 64",5
11.302,Московский район,"Космонавтов проспект, дом 65, корпус 1",3
11.303,Московский район,"Космонавтов проспект, дом 65, корпус 10",2
11.304,Московский район,"Космонавтов проспект, дом 65, корпус 11",2
11.305,Московский район,"Космонавтов проспект, дом 65, корпус 12",2
11.306,Московский район,"Космонавтов проспект, дом 65, корпус 2",2
11.307,Московский район,"Космонавтов проспект, дом 65, корпус 4",2
11.308,Московский район,"Космонавтов проспект, дом 65, корпус 6",2
11.309,Московский район,"Космонавтов проспект, дом 65, корпус 9",2
11.310,Московский район,"Космонавтов проспект, дом 66",7
11.311,Московский район,"Космонавтов проспект, дом 68, корпус 1",7
11.312,Московский район,"Космонавтов проспект, дом 68, корпус 2",6
11.313,Московский район,"Космонавтов проспект, дом 70",3
11.314,Московский район,"Космонавтов проспект, дом 74",8
11.315,Московский район,"Космонавтов проспект, дом 75",2
11.316,Московский район,"Космонавтов проспект, дом 82",9
11.317,Московский район,"Космонавтов проспект, дом 86, корпус 1",1
11.318,Московский район,"Космонавтов проспект, дом 86, корпус 2",6
11.319,Московский район,"Космонавтов проспект, дом 90",4
11.320,Московский район,"Космонавтов проспект, дом 94",1
11.321,Московский район,"Космонавтов проспект, дом 96",21
11.322,Московский район,"Космонавтов проспект, дом 96, корпус 2",1
11.323,Московский район,"Костюшко улица, дом 1, корпус 1",1
11.324,Московский район,"Костюшко улица, дом 11",8
11.325,Московский район,"Костюшко улица, дом 12",4
11.326,Московский район,"Костюшко улица, дом 13",8
11.327,Московский район,"Костюшко улица, дом 13, корпус 1",2
11.328,Московский район,"Костюшко улица, дом 14",1
11.329,Московский район,"Костюшко улица, дом 15",1
11.330,Московский район,"Костюшко улица, дом 16",9
11.331,Московский район,"Костюшко улица, дом 17",1
11.332,Московский район,"Костюшко улица, дом 2",19
11.333,Московский район,"Костюшко улица, дом 2, корпус 1",2
11.334,Московский район,"Костюшко улица, дом 22",2
11.335,Московский район,"Костюшко улица, дом 26",1
11.336,Московский район,"Костюшко улица, дом 3",2
11.337,Московский район,"Костюшко улица, дом 30",8
11.338,Московский район,"Костюшко улица, дом 32",7
11.339,Московский район,"Костюшко улица, дом 36",9
11.340,Московский район,"Костюшко улица, дом 4",8
11.341,Московский район,"Костюшко улица, дом 40",8
11.342,Московский район,"Костюшко улица, дом 42",1
11.343,Московский район,"Костюшко улица, дом 48",9
11.344,Московский район,"Костюшко улица, дом 5",2
11.345,Московский район,"Костюшко улица, дом 5, корпус 1",3
11.346,Московский район,"Костюшко улица, дом 52",1
11.347,Московский район,"Костюшко улица, дом 54",2
11.348,Московский район,"Костюшко улица, дом 58",3
11.349,Московский район,"Костюшко улица, дом 64",1
11.350,Московский район,"Костюшко улица, дом 66",3
11.351,Московский район,"Костюшко улица, дом 7",8
11.352,Московский район,"Костюшко улица, дом 70",1
11.353,Московский район,"Костюшко улица, дом 72",8
11.354,Московский район,"Костюшко улица, дом 76",2
11.355,Московский район,"Костюшко улица, дом 86",5
11.356,Московский район,"Костюшко улица, дом 88",2
11.357,Московский район,"Костюшко улица, дом 9",1
11.358,Московский район,"Костюшко улица, дом 94",7
11.359,Московский район,"Костюшко улица, дом 98",4
11.360,Московский район,"Краснопутиловская улица, дом 10, литера 8",1
11.361,Московский район,"Краснопутиловская улица, дом 104",4
11.362,Московский район,"Краснопутиловская улица, дом 106",5
11.363,Московский район,"Краснопутиловская улица, дом 109",3
11.364,Московский район,"Краснопутиловская улица, дом 115",1
11.365,Московский район,"Краснопутиловская улица, дом 117",7
11.366,Московский район,"Краснопутиловская улица, дом 121",10
11.367,Московский район,"Краснопутиловская улица, дом 127",5
11.368,Московский район,"Краснопутиловская улица, дом 129",5
11.369,Московский район,"Краснопутиловская улица, дом 50, корпус 2",1
11.370,Московский район,"Краснопутиловская улица, дом 52",3
11.371,Московский район,"Краснопутиловская улица, дом 54",5
11.372,Московский район,"Краснопутиловская улица, дом 56",1
11.373,Московский район,"Краснопутиловская улица, дом 58",4
11.374,Московский район,"Краснопутиловская улица, дом 62",3
11.375,Московский район,"Краснопутиловская улица, дом 64",5
11.376,Московский район,"Краснопутиловская улица, дом 68",4
11.377,Московский район,"Краснопутиловская улица, дом 71",1
11.378,Московский район,"Краснопутиловская улица, дом 72",6
11.379,Московский район,"Краснопутиловская улица, дом 73",7
11.380,Московский район,"Краснопутиловская улица, дом 74",5
11.381,Московский район,"Краснопутиловская улица, дом 75",7
11.382,Московский район,"Краснопутиловская улица, дом 78",3
11.383,Московский район,"Краснопутиловская улица, дом 79",7
11.384,Московский район,"Краснопутиловская улица, дом 80",6
11.385,Московский район,"Краснопутиловская улица, дом 82",5
11.386,Московский район,"Краснопутиловская улица, дом 83",7
11.387,Московский район,"Краснопутиловская улица, дом 84",5
11.388,Московский район,"Краснопутиловская улица, дом 85",1
11.389,Московский район,"Краснопутиловская улица, дом 87",11
11.390,Московский район,"Краснопутиловская улица, дом 89",7
11.391,Московский район,"Краснопутиловская улица, дом 90",5
11.392,Московский район,"Краснопутиловская улица, дом 91",5
11.393,Московский район,"Краснопутиловская улица, дом 92",4
11.394,Московский район,"Краснопутиловская улица, дом 93",6
11.395,Московский район,"Краснопутиловская улица, дом 94",4
11.396,Московский район,"Кубинская улица, дом 10",6
11.397,Московский район,"Кубинская улица, дом 14",3
11.398,Московский район,"Кубинская улица, дом 16",4
11.399,Московский район,"Кубинская улица, дом 20",5
11.400,Московский район,"Кубинская улица, дом 22",5
11.401,Московский район,"Кубинская улица, дом 24",5
11.402,Московский район,"Кубинская улица, дом 26",5
11.403,Московский район,"Кубинская улица, дом 28",8
11.404,Московский район,"Кубинская улица, дом 30",4
11.405,Московский район,"Кубинская улица, дом 32",14
11.406,Московский район,"Кубинская улица, дом 34",5
11.407,Московский район,"Кубинская улица, дом 36",5
11.408,Московский район,"Кубинская улица, дом 38",5
11.409,Московский район,"Кубинская улица, дом 40",5
11.410,Московский район,"Кубинская улица, дом 42",3
11.411,Московский район,"Кубинская улица, дом 44",8
11.412,Московский район,"Кубинская улица, дом 46",8
11.413,Московский район,"Кубинская улица, дом 48",5
11.414,Московский район,"Кубинская улица, дом 50",4
11.415,Московский район,"Кубинская улица, дом 52",5
11.416,Московский район,"Кубинская улица, дом 54",4
11.417,Московский район,"Кубинская улица, дом 56",4
11.418,Московский район,"Кубинская улица, дом 58",7
11.419,Московский район,"Кубинская улица, дом 60",9
11.420,Московский район,"Кубинская улица, дом 64",7
11.421,Московский район,"Кубинская улица, дом 66",5
11.422,Московский район,"Кубинская улица, дом 68",7
11.423,Московский район,"Кубинская улица, дом 70, корпус 1",8
11.424,Московский район,"Кубинская улица, дом 74, литера С",3
11.425,Московский район,"Кубинская улица, дом 86",1
11.426,Московский район,"Кузнецовская улица, дом 10",8
11.427,Московский район,"Кузнецовская улица, дом 12",3
11.428,Московский район,"Кузнецовская улица, дом 13",4
11.429,Московский район,"Кузнецовская улица, дом 14",2
11.430,Московский район,"Кузнецовская улица, дом 15",8
11.431,Московский район,"Кузнецовская улица, дом 16",2
11.432,Московский район,"Кузнецовская улица, дом 18",1
11.433,Московский район,"Кузнецовская улица, дом 20",3
11.434,Московский район,"Кузнецовская улица, дом 22",7
11.435,Московский район,"Кузнецовская улица, дом 24",3
11.436,Московский район,"Кузнецовская улица, дом 26",3
11.437,Московский район,"Кузнецовская улица, дом 28",2
11.438,Московский район,"Кузнецовская улица, дом 30",7
11.439,Московский район,"Кузнецовская улица, дом 36",7
11.440,Московский район,"Кузнецовская улица, дом 38",4
11.441,Московский район,"Кузнецовская улица, дом 4",1
11.442,Московский район,"Кузнецовская улица, дом 4",3
11.443,Московский район,"Кузнецовская улица, дом 41",2
11.444,Московский район,"Кузнецовская улица, дом 42",6
11.445,Московский район,"Кузнецовская улица, дом 44",18
11.446,Московский район,"Кузнецовская улица, дом 46",5
11.447,Московский район,"Кузнецовская улица, дом 48",5
11.448,Московский район,"Кузнецовская улица, дом 6",2
11.449,Московский район,"Кузнецовская улица, дом 8",2
11.450,Московский район,"Ленинский проспект, дом 147",15
11.451,Московский район,"Ленинский проспект, дом 147, корпус 2",3
11.452,Московский район,"Ленинский проспект, дом 147, корпус 3",5
11.453,Московский район,"Ленинский проспект, дом 147, корпус 4",7
11.454,Московский район,"Ленинский проспект, дом 147, корпус 5",2
11.455,Московский район,"Ленинский проспект, дом 148, корпус 2",7
11.456,Московский район,"Ленинский проспект, дом 149, корпус 1",3
11.457,Московский район,"Ленинский проспект, дом 150, корпус 2",5
11.458,Московский район,"Ленинский проспект, дом 151",1
11.459,Московский район,"Ленинский проспект, дом 152, корпус 2",7
11.460,Московский район,"Ленинский проспект, дом 152, корпус 3",7
11.461,Московский район,"Ленинский проспект, дом 154",3
11.462,Московский район,"Ленинский проспект, дом 154, корпус 2",5
11.463,Московский район,"Ленинский проспект, дом 155",6
11.464,Московский район,"Ленинский проспект, дом 156, корпус 2",7
11.465,Московский район,"Ленинский проспект, дом 156, корпус 3",7
11.466,Московский район,"Ленинский проспект, дом 157",6
11.467,Московский район,"Ленинский проспект, дом 158",1
11.468,Московский район,"Ленинский проспект, дом 158, корпус 2",4
11.469,Московский район,"Ленинский проспект, дом 159",1
11.470,Московский район,"Ленинский проспект, дом 160",1
11.471,Московский район,"Ленинский проспект, дом 161",11
11.472,Московский район,"Ленинский проспект, дом 161, корпус 3",8
11.473,Московский район,"Ленинский проспект, дом 162",6
11.474,Московский район,"Ленинский проспект, дом 162, корпус 2",5
11.475,Московский район,"Ленинский проспект, дом 162, корпус 3",4
11.476,Московский район,"Ленинский проспект, дом 164",3
11.477,Московский район,"Ленинский проспект, дом 166",6
